Tile RAmin RAmax DECmin DECmax
KIDS_10p0_m26p2 9.4444444445 10.5555555555 -26.7088 -25.7198
KIDS_11p1_m26p2 10.5555555555 11.6666666665 -26.7088 -25.7198
KIDS_12p2_m26p2 11.6666666665 12.7777777775 -26.7088 -25.7198
KIDS_13p3_m26p2 12.7777777775 13.8888888885 -26.7088 -25.7198
KIDS_14p4_m26p2 13.8888888885 15 -26.7088 -25.7198
KIDS_15p6_m26p2 15 16.1111111115 -26.7088 -25.7198
KIDS_16p7_m26p2 16.1111111115 17.2222222225 -26.7088 -25.7198
KIDS_17p8_m26p2 17.2222222225 18.3333333335 -26.7088 -25.7198
KIDS_18p9_m26p2 18.3333333335 19.4444444445 -26.7088 -25.7198
KIDS_20p0_m26p2 19.4444444445 20.5555555555 -26.7088 -25.7198
KIDS_21p1_m26p2 20.5555555555 21.6666666665 -26.7088 -25.7198
KIDS_22p2_m26p2 21.6666666665 22.7777777775 -26.7088 -25.7198
KIDS_23p3_m26p2 22.7777777775 23.8888888885 -26.7088 -25.7198
KIDS_24p4_m26p2 23.8888888885 25 -26.7088 -25.7198
KIDS_25p6_m26p2 25 26.1111111115 -26.7088 -25.7198
KIDS_26p7_m26p2 26.1111111115 27.2222222225 -26.7088 -25.7198
KIDS_27p8_m26p2 27.2222222225 28.3333333335 -26.7088 -25.7198
KIDS_28p9_m26p2 28.3333333335 29.4444444445 -26.7088 -25.7198
KIDS_30p0_m26p2 29.4444444445 30.5555555555 -26.7088 -25.7198
KIDS_31p1_m26p2 30.5555555555 31.6666666665 -26.7088 -25.7198
KIDS_32p2_m26p2 31.6666666665 32.7777777775 -26.7088 -25.7198
KIDS_33p3_m26p2 32.7777777775 33.8888888885 -26.7088 -25.7198
KIDS_34p4_m26p2 33.8888888885 35 -26.7088 -25.7198
KIDS_35p6_m26p2 35 36.1111111115 -26.7088 -25.7198
KIDS_36p7_m26p2 36.1111111115 37.2222222225 -26.7088 -25.7198
KIDS_37p8_m26p2 37.2222222225 38.3333333335 -26.7088 -25.7198
KIDS_38p9_m26p2 38.3333333335 39.4444444445 -26.7088 -25.7198
KIDS_40p0_m26p2 39.4444444445 40.5555555555 -26.7088 -25.7198
KIDS_41p1_m26p2 40.5555555555 41.6666666665 -26.7088 -25.7198
KIDS_42p2_m26p2 41.6666666665 42.7777777775 -26.7088 -25.7198
KIDS_43p3_m26p2 42.7777777775 43.8888888885 -26.7088 -25.7198
KIDS_44p4_m26p2 43.8888888885 45 -26.7088 -25.7198
KIDS_330p0_m26p2 329.431532124 330.555555556 -26.7088 -25.7198
KIDS_331p1_m26p2 330.555555556 331.666666666 -26.7088 -25.7198
KIDS_332p2_m26p2 331.666666666 332.777777777 -26.7088 -25.7198
KIDS_333p3_m26p2 332.777777777 333.888888888 -26.7088 -25.7198
